segment,family,seed,step,stratum,px,ink_density,best_f1,best_threshold,precision,recall
pherc1667-w029,loso,43,030000,>=256,208579,0.2675,0.4865,69,0.3428,0.8375
pherc1667-w029,loso,43,040000,<64,44574,0.1190,0.3525,139,0.3412,0.3645
pherc1667-w029,loso,43,040000,128-256,85215,0.3160,0.6564,76,0.5948,0.7323
pherc1667-w029,loso,43,040000,>=256,208579,0.2675,0.5212,78,0.4021,0.7403
pherc1667-w029,loso,43,050000,<64,44574,0.1190,0.3477,85,0.2518,0.5619
pherc1667-w029,loso,43,050000,128-256,85215,0.3160,0.6655,72,0.6084,0.7344
pherc1667-w029,loso,43,050000,>=256,208579,0.2675,0.4762,70,0.3542,0.7264
pherc1667-w029,loso,43,060000,<64,44574,0.1190,0.3201,119,0.2644,0.4054
pherc1667-w029,loso,43,060000,128-256,85215,0.3160,0.6519,69,0.5295,0.8480
pherc1667-w029,loso,43,060000,>=256,208579,0.2675,0.4842,91,0.4029,0.6067
pherc1667-w029,loso,43,075000,<64,44574,0.1190,0.4087,106,0.3383,0.5161
pherc1667-w029,loso,43,075000,128-256,85215,0.3160,0.6105,69,0.5386,0.7046
pherc1667-w029,loso,43,075000,>=256,208579,0.2675,0.4939,100,0.4789,0.5098
