arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
loso43,pherc0139-w029,010000,446574,111255,0.6395,90,0.6350,0.6441,0.4701,0.7606
loso43,pherc0139-w029,020000,446574,111255,0.6804,84,0.6442,0.7210,0.5157,0.7944
loso43,pherc0139-w029,030000,446574,111255,0.7362,88,0.7331,0.7394,0.5826,0.8250
loso43,pherc0139-w029,040000,446574,111255,0.6765,89,0.7086,0.6471,0.5111,0.7794
loso43,pherc0139-w029,050000,446574,111255,0.6999,76,0.6543,0.7524,0.5383,0.8102
loso43,pherc0139-w029,060000,446574,111255,0.6489,80,0.6042,0.7008,0.4803,0.7742
loso43,pherc0139-w029,075000,446574,111255,0.6415,71,0.5693,0.7347,0.4722,0.7752
ref42,pherc0139-w029,010000,446574,111255,0.8109,132,0.7932,0.8295,0.6820,0.8789
ref42,pherc0139-w029,020000,446574,111255,0.9267,134,0.9193,0.9342,0.8634,0.9535
ref42,pherc0139-w029,030000,446574,111255,0.9561,123,0.9477,0.9647,0.9159,0.9735
ref42,pherc0139-w029,040000,446574,111255,0.9732,131,0.9727,0.9737,0.9478,0.9823
ref42,pherc0139-w029,050000,446574,111255,0.9793,134,0.9787,0.9798,0.9594,0.9864
ref42,pherc0139-w029,060000,446574,111255,0.9840,140,0.9830,0.9851,0.9686,0.9897
ref42,pherc0139-w029,075000,446574,111255,0.9871,124,0.9845,0.9897,0.9745,0.9923
ref43,pherc0139-w029,010000,446574,111255,0.8127,117,0.7659,0.8655,0.6845,0.8889
ref43,pherc0139-w029,020000,446574,111255,0.9101,133,0.8979,0.9227,0.8351,0.9439
ref43,pherc0139-w029,030000,446574,111255,0.9506,133,0.9450,0.9563,0.9058,0.9689
ref43,pherc0139-w029,040000,446574,111255,0.9665,131,0.9631,0.9700,0.9353,0.9788
ref43,pherc0139-w029,050000,446574,111255,0.9742,133,0.9725,0.9760,0.9498,0.9834
ref43,pherc0139-w029,060000,446574,111255,0.9812,129,0.9790,0.9834,0.9630,0.9882
ref43,pherc0139-w029,075000,446574,111255,0.9853,131,0.9847,0.9859,0.9709,0.9904
loso42,pherc0139-w035,010000,1018807,321472,0.7003,87,0.6600,0.7457,0.5388,0.7843
loso42,pherc0139-w035,020000,1018807,321472,0.7219,79,0.6747,0.7762,0.5648,0.8018
loso42,pherc0139-w035,030000,1018807,321472,0.6883,80,0.6310,0.7571,0.5248,0.7765
loso42,pherc0139-w035,040000,1018807,321472,0.6803,80,0.7037,0.6585,0.5155,0.7653
loso42,pherc0139-w035,050000,1018807,321472,0.6524,69,0.6160,0.6934,0.4841,0.7471
loso42,pherc0139-w035,060000,1018807,321472,0.6923,70,0.6199,0.7839,0.5294,0.7812
loso42,pherc0139-w035,075000,1018807,321472,0.6717,77,0.6422,0.7042,0.5057,0.7616
loso43,pherc0139-w035,010000,1018807,321472,0.6627,89,0.7181,0.6153,0.4956,0.7520
