arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
ref42,phercparis4-w03,030000,6169508,2125255,0.8619,122,0.8561,0.8678,0.7574,0.8956
ref42,phercparis4-w03,040000,6169508,2125255,0.8718,125,0.8652,0.8784,0.7727,0.9033
ref42,phercparis4-w03,050000,6169508,2125255,0.8860,121,0.8755,0.8968,0.7954,0.9149
ref42,phercparis4-w03,060000,6169508,2125255,0.8971,126,0.8901,0.9043,0.8135,0.9228
ref42,phercparis4-w03,075000,6169508,2125255,0.9051,124,0.8941,0.9164,0.8267,0.9297
ref43,phercparis4-w03,010000,6169508,2125255,0.7726,120,0.7689,0.7763,0.6294,0.8268
ref43,phercparis4-w03,020000,6169508,2125255,0.8303,109,0.8180,0.8430,0.7098,0.8722
ref43,phercparis4-w03,030000,6169508,2125255,0.8589,118,0.8465,0.8716,0.7527,0.8943
ref43,phercparis4-w03,040000,6169508,2125255,0.8678,121,0.8619,0.8739,0.7665,0.9001
ref43,phercparis4-w03,050000,6169508,2125255,0.8806,132,0.8714,0.8900,0.7867,0.9105
ref43,phercparis4-w03,060000,6169508,2125255,0.8912,123,0.8775,0.9053,0.8037,0.9194
ref43,phercparis4-w03,075000,6169508,2125255,0.8998,126,0.8928,0.9069,0.8178,0.9248
loso42,phercparis4-w05,010000,31930770,6737328,0.3748,82,0.2614,0.6620,0.2306,0.5809
loso42,phercparis4-w05,020000,31930770,6737328,0.3861,81,0.2712,0.6698,0.2392,0.5943
loso42,phercparis4-w05,030000,31930770,6737328,0.3772,70,0.2547,0.7270,0.2325,0.5791
loso42,phercparis4-w05,040000,31930770,6737328,0.3549,64,0.2277,0.8036,0.2157,0.5374
loso42,phercparis4-w05,050000,31930770,6737328,0.3639,67,0.2421,0.7321,0.2224,0.5596
loso42,phercparis4-w05,060000,31930770,6737328,0.3656,65,0.2413,0.7544,0.2237,0.5600
loso42,phercparis4-w05,075000,31930770,6737328,0.3639,66,0.2443,0.7132,0.2224,0.5616
loso43,phercparis4-w05,010000,31930770,6737328,0.3579,84,0.2404,0.6995,0.2179,0.5543
loso43,phercparis4-w05,020000,31930770,6737328,0.3971,85,0.2966,0.6004,0.2477,0.6098
loso43,phercparis4-w05,030000,31930770,6737328,0.3765,72,0.2663,0.6421,0.2319,0.5845
loso43,phercparis4-w05,040000,31930770,6737328,0.3744,68,0.2604,0.6663,0.2304,0.5801
loso43,phercparis4-w05,050000,31930770,6737328,0.3749,68,0.2615,0.6620,0.2307,0.5810
loso43,phercparis4-w05,060000,31930770,6737328,0.3635,68,0.2473,0.6858,0.2222,0.5638
loso43,phercparis4-w05,075000,31930770,6737328,0.3546,65,0.2375,0.6997,0.2155,0.5495
ref42,phercparis4-w05,010000,31930770,6737328,0.7389,136,0.7760,0.7053,0.5860,0.8254
ref42,phercparis4-w05,020000,31930770,6737328,0.8020,116,0.8309,0.7750,0.6694,0.8664
ref42,phercparis4-w05,030000,31930770,6737328,0.8223,116,0.8468,0.7992,0.6982,0.8803
ref42,phercparis4-w05,040000,31930770,6737328,0.8272,114,0.8422,0.8127,0.7053,0.8860
ref42,phercparis4-w05,050000,31930770,6737328,0.8338,113,0.8498,0.8184,0.7149,0.8898
ref42,phercparis4-w05,060000,31930770,6737328,0.8475,114,0.8583,0.8370,0.7354,0.9000
ref42,phercparis4-w05,075000,31930770,6737328,0.8576,110,0.8648,0.8505,0.7507,0.9075
ref43,phercparis4-w05,010000,31930770,6737328,0.7294,125,0.7626,0.6990,0.5741,0.8204
ref43,phercparis4-w05,020000,31930770,6737328,0.8060,108,0.8372,0.7770,0.6750,0.8683
ref43,phercparis4-w05,030000,31930770,6737328,0.8220,117,0.8447,0.8006,0.6978,0.8806
ref43,phercparis4-w05,040000,31930770,6737328,0.8280,114,0.8512,0.8061,0.7065,0.8842
ref43,phercparis4-w05,050000,31930770,6737328,0.8383,119,0.8485,0.8283,0.7216,0.8944
ref43,phercparis4-w05,060000,31930770,6737328,0.8463,110,0.8554,0.8373,0.7335,0.8997
ref43,phercparis4-w05,075000,31930770,6737328,0.8550,109,0.8648,0.8455,0.7468,0.9051
loso42,phercparis4-w06,010000,11074717,3443040,0.4772,73,0.3226,0.9163,0.3134,0.5242
loso42,phercparis4-w06,020000,11074717,3443040,0.5013,77,0.3706,0.7744,0.3345,0.5905
loso42,phercparis4-w06,030000,11074717,3443040,0.4874,67,0.3415,0.8505,0.3222,0.5554
loso42,phercparis4-w06,040000,11074717,3443040,0.4743,53,0.3109,1.0000,0.3109,0.5000
loso42,phercparis4-w06,050000,11074717,3443040,0.4819,65,0.3332,0.8699,0.3174,0.5423
loso42,phercparis4-w06,060000,11074717,3443040,0.4794,64,0.3316,0.8652,0.3153,0.5392
loso42,phercparis4-w06,075000,11074717,3443040,0.4778,65,0.3378,0.8163,0.3139,0.5471
